iter	RMSE
0	14.4906349
1	14.119272
2	13.75138561
3	13.39313646
4	13.06647061
5	12.76264673
6	12.46731322
7	12.19890252
8	11.91891714
9	11.63652235
10	11.37002647
11	11.13822341
12	10.92623775
13	10.68738206
14	10.46165115
15	10.22945255
16	10.02198567
17	9.825726677
18	9.622598102
19	9.430722335
20	9.26121616
21	9.105994005
22	8.931332901
23	8.764631524
24	8.602864494
25	8.465981328
26	8.322314659
27	8.189202561
28	8.059828382
29	7.94656803
30	7.842441672
31	7.723190774
32	7.62263374
33	7.522469748
34	7.421088394
35	7.33039119
36	7.242480375
37	7.162150888
38	7.081011687
39	7.003100883
40	6.935495298
41	6.879812269
42	6.809053695
43	6.749556
44	6.686851869
45	6.624374083
46	6.569390432
47	6.512260834
48	6.456276091
49	6.408337838
50	6.363060498
51	6.320559683
52	6.27735835
53	6.229136326
54	6.185930613
55	6.148133778
56	6.11287649
57	6.07919906
58	6.04559752
59	6.013690246
60	5.982979263
61	5.952349508
62	5.916903326
63	5.882308401
64	5.854369062
65	5.826143061
66	5.802255359
67	5.774273956
68	5.756912427
69	5.732781638
70	5.711686686
71	5.689172344
72	5.671261979
73	5.652425881
74	5.632919076
75	5.611213563
76	5.594770719
77	5.57978765
78	5.566841169
79	5.549888213
80	5.538484105
81	5.519950256
82	5.505351592
83	5.48919068
84	5.477247218
85	5.461079554
86	5.449118235
87	5.437074272
88	5.423661881
89	5.410450686
90	5.402336844
91	5.392839264
92	5.383193727
93	5.375852504
94	5.365893033
95	5.353654397
96	5.342020991
97	5.333801959
98	5.325791094
99	5.319631851
100	5.305572917
101	5.295416635
102	5.2874148
103	5.276230574
104	5.266541539
105	5.25829393
106	5.24934963
107	5.241981306
108	5.233106042
109	5.226514888
110	5.223613248
111	5.214076666
112	5.206705974
113	5.200666367
114	5.194906285
115	5.190251648
116	5.185562784
117	5.179879481
118	5.178164798
119	5.168936709
120	5.16371573
121	5.159783658
122	5.153689975
123	5.146879452
124	5.141649518
125	5.135916084
126	5.127723422
127	5.122669937
128	5.116483159
129	5.110227433
130	5.101119295
131	5.096973722
132	5.091908274
133	5.083595931
134	5.079052718
135	5.071858282
136	5.067309697
137	5.064577813
138	5.060447488
139	5.054881425
140	5.050888147
141	5.048181897
142	5.047159265
143	5.042375049
144	5.038126541
145	5.031164921
146	5.024111501
147	5.021062136
148	5.017292019
149	5.016404506
150	5.013697351
151	5.009923666
152	5.005399351
153	5.00046183
154	4.999441782
155	4.995363341
156	4.990330624
157	4.983435485
158	4.974335721
159	4.969928714
160	4.965776322
161	4.960269856
162	4.956467935
163	4.952073352
164	4.950862645
165	4.946662382
166	4.941217419
167	4.94046833
168	4.937503488
169	4.935729415
170	4.931924042
171	4.929715847
172	4.924063612
173	4.919994784
174	4.917459782
175	4.912927241
176	4.906348922
177	4.904446547
178	4.898042686
179	4.897547428
180	4.893458024
181	4.89001205
182	4.885690598
183	4.882155256
184	4.877888255
185	4.874396759
186	4.866303141
187	4.864851831
188	4.862512442
189	4.857148912
190	4.85298049
191	4.849245415
192	4.845000954
193	4.84372628
194	4.839073037
195	4.837740694
196	4.832654407
197	4.830387363
198	4.828532161
199	4.827232047
200	4.823030909
201	4.819915068
202	4.813511822
203	4.810993123
204	4.807434853
205	4.804490986
206	4.80182016
207	4.799336783
208	4.794227965
209	4.790829337
210	4.784469441
211	4.782601073
212	4.778530305
213	4.773718358
214	4.770552572
215	4.765534653
216	4.76287436
217	4.75901552
218	4.753941536
219	4.750449945
220	4.748350367
221	4.743098282
222	4.739834545
223	4.737406347
224	4.735588691
225	4.73467813
226	4.732230294
227	4.726154194
228	4.722951687
229	4.720333292
230	4.717957451
231	4.715468108
232	4.712485055
233	4.70921509
234	4.708203952
235	4.702554715
236	4.700363757
237	4.69554337
238	4.693785534
239	4.68875529
240	4.682041788
241	4.67958563
242	4.678247071
243	4.673895819
244	4.666354853
245	4.661668097
246	4.657647577
247	4.652464954
248	4.648642334
249	4.6438327
250	4.641666499
251	4.640967665
252	4.639258081
253	4.636661682
254	4.631497689
255	4.63007801
256	4.627747039
257	4.625773846
258	4.624172715
259	4.621533025
260	4.615482902
261	4.612979212
262	4.609827711
263	4.605681827
264	4.601934387
265	4.596579882
266	4.595037606
267	4.591547366
268	4.588878588
269	4.585416079
270	4.580586654
271	4.576770116
272	4.573583917
273	4.568391931
274	4.566064701
275	4.56378066
276	4.562888203
277	4.55939515
278	4.558005428
279	4.556397241
280	4.55349601
281	4.549396397
282	4.54676099
283	4.5435957
284	4.541892645
285	4.537515486
286	4.535588554
287	4.534193068
288	4.529604417
289	4.527232549
290	4.525777848
291	4.524911528
292	4.518629031
293	4.516796732
294	4.512993623
295	4.507112738
296	4.504704512
297	4.503026727
298	4.496016281
299	4.491351783
300	4.486759302
301	4.484402588
302	4.479504411
303	4.478828259
304	4.474004593
305	4.473159461
306	4.467304759
307	4.465196553
308	4.460857587
309	4.458428215
310	4.454709673
311	4.449531524
312	4.448223089
313	4.443456639
314	4.439987712
315	4.435170329
316	4.432417732
317	4.427074214
318	4.424773574
319	4.419808728
320	4.413974829
321	4.411305423
322	4.410264893
323	4.40943868
324	4.406876294
325	4.404780237
326	4.400686129
327	4.394692165
328	4.393058864
329	4.387164494
330	4.384744462
331	4.381874172
332	4.376314041
333	4.375146279
334	4.37147413
335	4.365860435
336	4.362036028
337	4.35895023
338	4.357499309
339	4.353327999
340	4.352593014
341	4.348275881
342	4.343208675
343	4.339329044
344	4.335859758
345	4.334658586
346	4.331110858
347	4.326821678
348	4.323265794
349	4.320801258
350	4.318614724
351	4.31681002
352	4.316453493
353	4.311715345
354	4.31111804
355	4.307734326
356	4.304301692
357	4.302344285
358	4.301733077
359	4.29765269
360	4.294091168
361	4.293502608
362	4.289419172
363	4.285651578
364	4.28344457
365	4.280459713
366	4.27921483
367	4.278012205
368	4.272792128
369	4.270149341
370	4.268800748
371	4.264987325
372	4.263158915
373	4.258128097
374	4.255972591
375	4.252651319
376	4.252110903
377	4.25004848
378	4.248323559
379	4.246377821
380	4.242659676
381	4.239993054
382	4.237194086
383	4.232339636
384	4.229163266
385	4.227338662
386	4.224982166
387	4.221093472
388	4.218001459
389	4.215853225
390	4.211931625
391	4.207640868
392	4.204389039
393	4.200934846
394	4.200293479
395	4.199634635
396	4.197655766
397	4.194675275
398	4.192310866
399	4.190440454
400	4.187661967
401	4.185951983
402	4.184099931
403	4.183411265
404	4.182027278
405	4.177542374
406	4.1746691
407	4.171150747
408	4.16632016
409	4.162783904
410	4.158669361
411	4.156907476
412	4.155154854
413	4.154333786
414	4.152075259
415	4.150308382
416	4.148039888
417	4.146053745
418	4.141574196
419	4.140944203
420	4.138287776
421	4.135005272
422	4.134303685
423	4.131584955
424	4.130179125
425	4.129403767
426	4.126184649
427	4.123430735
428	4.12030938
429	4.117789744
430	4.113319889
431	4.109719227
432	4.106425851
433	4.103604052
434	4.100255309
435	4.097082534
436	4.094032652
437	4.093267593
438	4.092808069
439	4.091344854
440	4.088705317
441	4.084802499
442	4.083239779
443	4.080328018
444	4.077589598
445	4.07469218
446	4.07397983
447	4.072555985
448	4.070192821
449	4.066951866
450	4.065338403
451	4.064549039
452	4.060968558
453	4.058210888
454	4.055239312
455	4.05137395
456	4.048151924
457	4.047640519
458	4.043821281
459	4.04171444
460	4.041291976
461	4.036669475
462	4.035527202
463	4.033587046
464	4.031400561
465	4.029635927
466	4.025154699
467	4.022267945
468	4.018447113
469	4.01617232
470	4.015665046
471	4.013926713
472	4.012711544
473	4.010277069
474	4.005690101
475	4.004048005
476	4.000828079
477	3.999618171
478	3.998829986
479	3.995692484
480	3.990987985
481	3.989590143
482	3.987919494
483	3.985615772
484	3.982222654
485	3.978798324
486	3.976766374
487	3.974663919
488	3.972909517
489	3.970924069
490	3.969521262
491	3.968978375
492	3.967127987
493	3.963102684
494	3.958381963
495	3.957186492
496	3.956300075
497	3.953827641
498	3.951777646
499	3.95025014
500	3.948575635
501	3.946895632
502	3.945297751
503	3.941928134
504	3.938851064
505	3.937155482
506	3.933625611
507	3.932541224
508	3.927138498
509	3.926022992
510	3.921850051
511	3.92036738
512	3.918050687
513	3.913597872
514	3.910621456
515	3.909479979
516	3.908965929
517	3.90569514
518	3.901038823
519	3.899353562
520	3.897874195
521	3.89595195
