iter	Passed	Remaining
0	5	553
1	12	616
2	22	730
3	27	663
4	34	658
5	43	683
6	49	656
7	51	588
8	56	574
9	58	523
10	61	494
11	63	466
12	68	455
13	69	423
14	69	396
15	70	371
16	77	376
17	77	354
18	78	334
19	81	326
20	82	311
21	85	303
22	86	289
23	87	275
24	87	263
25	88	251
26	89	241
27	92	237
28	92	227
29	93	218
30	94	209
31	94	201
32	101	205
33	101	197
34	102	190
35	105	187
36	106	180
37	106	173
38	107	167
39	107	161
40	109	157
41	114	158
42	115	152
43	117	149
44	117	144
45	119	140
46	124	139
47	124	135
48	126	131
49	127	127
50	129	124
51	130	120
52	136	121
53	138	117
54	139	113
55	140	110
56	142	107
57	143	103
58	143	100
59	146	97
60	147	94
61	147	90
62	148	86
63	148	83
64	148	80
65	149	76
66	149	73
67	150	70
68	150	67
69	151	64
70	151	61
71	152	59
72	152	56
73	152	53
74	153	51
75	154	48
76	154	46
77	155	43
78	155	41
79	155	38
80	156	36
81	156	34
82	157	32
83	157	30
84	157	27
85	158	25
86	158	23
87	159	21
88	159	19
89	160	17
90	161	15
91	161	14
92	162	12
93	162	10
94	163	8
95	163	6
96	163	5
97	164	3
98	164	1
99	165	0
