iter	Passed	Remaining
0	50	49951
1	50	25193
2	50	16912
3	51	12794
4	51	10307
5	52	8644
6	52	7461
7	53	6574
8	53	5895
9	53	5343
10	54	4892
11	55	4574
12	56	4283
13	56	4012
14	57	3771
15	57	3558
16	58	3372
17	58	3207
18	59	3059
19	59	2925
20	60	2805
21	60	2695
22	61	2596
23	61	2503
24	61	2417
25	62	2337
26	62	2264
27	63	2206
28	64	2167
29	65	2110
30	65	2055
31	66	2002
32	66	1950
33	66	1902
34	67	1857
35	67	1816
36	68	1776
37	68	1744
38	69	1708
39	69	1674
40	70	1642
41	70	1612
42	71	1590
43	71	1562
44	72	1535
45	72	1509
46	73	1485
47	73	1461
48	74	1438
49	74	1416
50	74	1394
51	75	1377
52	76	1358
53	76	1339
54	76	1321
55	77	1304
56	77	1288
57	78	1271
58	78	1256
59	79	1240
60	79	1226
61	80	1211
62	80	1197
63	80	1183
64	81	1171
65	81	1158
66	82	1151
67	83	1141
68	84	1140
69	84	1128
70	85	1117
71	85	1107
72	86	1098
73	86	1088
74	87	1077
75	87	1069
76	88	1060
77	88	1051
78	89	1043
79	91	1052
80	92	1045
81	92	1036
82	92	1024
83	93	1017
84	93	1009
85	94	1000
86	94	994
87	95	987
88	95	979
89	96	972
90	96	964
91	97	958
92	97	950
93	97	943
94	98	936
95	98	929
96	99	923
97	99	916
98	100	910
99	100	904
100	100	898
101	101	891
102	102	888
103	102	884
104	103	879
105	103	873
106	104	868
107	104	863
108	104	858
109	105	852
110	106	850
111	106	847
112	107	843
113	107	839
114	108	835
115	109	834
116	110	830
117	110	827
118	111	823
119	111	818
120	111	813
121	112	808
122	112	804
123	113	800
124	113	796
125	114	791
126	114	787
127	115	783
128	115	780
129	115	775
130	116	771
131	116	768
132	117	764
133	117	760
134	118	757
135	118	753
136	119	750
137	119	746
138	120	743
139	120	740
140	121	738
141	121	733
142	121	730
143	122	727
144	122	724
145	123	721
146	123	718
147	124	715
148	125	714
149	125	711
150	126	709
151	127	711
152	129	715
153	129	712
154	130	710
155	130	707
156	131	704
157	131	701
158	132	703
159	133	702
160	134	698
161	134	696
162	135	694
163	135	691
164	136	690
165	137	688
166	137	686
167	138	683
168	138	681
169	139	678
170	139	676
171	140	674
172	140	671
173	140	669
174	141	666
175	141	664
176	142	661
177	142	658
178	143	656
179	143	654
180	143	651
181	144	649
182	144	646
183	145	644
184	145	641
185	146	639
186	146	636
187	146	634
188	147	632
189	147	629
190	148	627
191	148	625
192	149	623
193	149	622
194	150	620
195	150	618
196	151	616
197	151	614
198	152	612
